100
0 1-52; 2-48; 3-81; 4-60; 5-7; 6-28; 7-91; 8-54; 9-86; 10-2; 11-99; 12-17; 13-61; 14-76; 15-77; 16-71; 17-22; 18-78; 19-61; 20-43; 21-54; 22-95; 23-96; 24-89; 25-15; 26-21; 27-17; 28-88; 29-42; 30-71; 31-11; 32-55; 33-42; 34-99; 35-33; 36-72; 37-25; 38-31; 39-7; 40-23; 41-15; 42-79; 43-98; 44-44; 45-31; 46-30; 47-2; 48-30; 49-82; 50-19; 51-71; 52-29; 53-96; 54-63; 55-31; 56-34; 57-49; 58-43; 59-60; 60-47; 61-79; 62-84; 63-9; 64-91; 65-52; 66-17; 67-9; 68-12; 69-60; 70-67; 71-58; 72-12; 73-45; 74-52; 75-32; 76-55; 77-1; 78-45; 79-52; 80-44; 81-11; 82-95; 83-35; 84-31; 85-70; 86-93; 87-33; 88-46; 89-88; 90-83; 91-90; 92-99; 93-64; 94-57; 95-79; 96-77; 97-71; 98-69; 99-79;
54 0-63; 1-92; 2-46; 3-35; 4-71; 5-98; 6-26; 7-3; 8-80; 9-45; 10-74; 11-52; 12-74; 13-70; 14-29; 15-17; 16-4; 17-96; 18-32; 19-2; 20-15; 21-0; 22-1; 23-12; 24-60; 25-48; 26-44; 27-40; 28-60; 29-65; 30-51; 31-40; 32-95; 33-34; 34-66; 35-92; 36-44; 37-51; 38-96; 39-77; 40-79; 41-60; 42-78; 43-94; 44-21; 45-15; 46-21; 47-75; 48-28; 49-8; 50-63; 51-70; 52-88; 53-19; 55-1; 56-12; 57-25; 58-54; 59-82; 60-11; 61-18; 62-56; 63-46; 64-76; 65-98; 66-7; 67-26; 68-34; 69-1; 70-37; 71-58; 72-54; 73-28; 74-38; 75-32; 76-88; 77-4; 78-82; 79-69; 80-81; 81-80; 82-32; 83-99; 84-62; 85-57; 86-11; 87-97; 88-66; 89-68; 90-66; 91-74; 92-6; 93-55; 94-54; 95-29; 96-98; 97-59; 98-86; 99-0;
55 0-31; 1-36; 2-21; 3-77; 4-99; 5-34; 6-93; 7-55; 8-16; 9-99; 10-66; 11-7; 12-26; 13-17; 14-84; 15-93; 16-5; 17-56; 18-57; 19-80; 20-12; 21-67; 22-85; 23-1; 24-0; 25-42; 26-51; 27-89; 28-42; 29-87; 30-21; 31-60; 32-46; 33-98; 34-51; 35-95; 36-92; 37-33; 38-78; 39-10; 40-20; 41-85; 42-91; 43-61; 44-88; 45-58; 46-45; 47-56; 48-6; 49-79; 50-67; 51-7; 52-11; 53-4; 54-1; 56-53; 57-26; 58-16; 59-81; 60-5; 61-38; 62-18; 63-4; 64-20; 65-50; 66-30; 67-20; 68-10; 69-50; 70-15; 71-48; 72-42; 73-26; 74-14; 75-6; 76-60; 77-50; 78-84; 79-94; 80-30; 81-86; 82-82; 83-5; 84-48; 85-59; 86-52; 87-66; 88-73; 89-4; 90-82; 91-67; 92-32; 93-85; 94-49; 95-98; 96-28; 97-20; 98-53; 99-78;
56 0-34; 1-62; 2-18; 3-30; 4-27; 5-1; 6-71; 7-21; 8-40; 9-25; 10-54; 11-10; 12-28; 13-8; 14-10; 15-92; 16-7; 17-81; 18-88; 19-73; 20-31; 21-47; 22-98; 23-45; 24-83; 25-6; 26-93; 27-97; 28-88; 29-21; 30-52; 31-12; 32-39; 33-57; 34-61; 35-63; 36-47; 37-74; 38-56; 39-54; 40-21; 41-56; 42-59; 43-55; 44-56; 45-95; 46-27; 47-21; 48-27; 49-70; 50-41; 51-21; 52-50; 53-15; 54-12; 55-53; 57-29; 58-61; 59-23; 60-0; 61-51; 62-16; 63-33; 64-28; 65-43; 66-16; 67-20; 68-91; 69-81; 70-86; 71-56; 72-55; 73-43; 74-74; 75-97; 76-76; 77-67; 78-0; 79-12; 80-54; 81-17; 82-48; 83-30; 84-66; 85-4; 86-48; 87-74; 88-62; 89-44; 90-75; 91-58; 92-65; 93-28; 94-13; 95-3; 96-58; 97-87; 98-15; 99-71;
57 0-49; 1-39; 2-8; 3-42; 4-96; 5-4; 6-39; 7-15; 8-43; 9-99; 10-86; 11-71; 12-5; 13-65; 14-54; 15-88; 16-61; 17-69; 18-62; 19-14; 20-2; 21-32; 22-73; 23-32; 24-55; 25-16; 26-8; 27-67; 28-83; 29-78; 30-27; 31-41; 32-7; 33-74; 34-0; 35-46; 36-60; 37-93; 38-43; 39-5; 40-3; 41-25; 42-65; 43-83; 44-60; 45-39; 46-46; 47-66; 48-97; 49-57; 50-19; 51-88; 52-83; 53-86; 54-25; 55-26; 56-29; 58-71; 59-67; 60-24; 61-92; 62-45; 63-85; 64-0; 65-20; 66-86; 67-60; 68-62; 69-9; 70-96; 71-83; 72-6; 73-18; 74-1; 75-94; 76-44; 77-40; 78-75; 79-62; 80-95; 81-58; 82-15; 83-12; 84-96; 85-57; 86-84; 87-32; 88-43; 89-72; 90-21; 91-97; 92-86; 93-62; 94-80; 95-2; 96-49; 97-91; 98-33; 99-33;
58 0-43; 1-13; 2-54; 3-2; 4-68; 5-16; 6-56; 7-34; 8-25; 9-79; 10-3; 11-81; 12-32; 13-2; 14-87; 15-55; 16-22; 17-10; 18-36; 19-63; 20-82; 21-33; 22-9; 23-21; 24-67; 25-83; 26-43; 27-96; 28-57; 29-75; 30-42; 31-87; 32-23; 33-22; 34-74; 35-72; 36-35; 37-36; 38-63; 39-39; 40-69; 41-63; 42-96; 43-10; 44-55; 45-42; 46-54; 47-53; 48-76; 49-73; 50-78; 51-35; 52-57; 53-25; 54-54; 55-16; 56-61; 57-71; 59-97; 60-61; 61-67; 62-49; 63-90; 64-97; 65-65; 66-1; 67-35; 68-94; 69-65; 70-51; 71-75; 72-71; 73-76; 74-57; 75-26; 76-12; 77-1; 78-44; 79-13; 80-77; 81-46; 82-2; 83-28; 84-77; 85-72; 86-21; 87-78; 88-33; 89-34; 90-48; 91-74; 92-34; 93-93; 94-4; 95-67; 96-66; 97-51; 98-19; 99-21;
59 0-60; 1-80; 2-45; 3-82; 4-69; 5-25; 6-60; 7-0; 8-46; 9-38; 10-16; 11-58; 12-89; 13-51; 14-56; 15-8; 16-68; 17-40; 18-9; 19-2; 20-52; 21-26; 22-88; 23-68; 24-21; 25-61; 26-40; 27-9; 28-54; 29-4; 30-72; 31-97; 32-42; 33-13; 34-13; 35-58; 36-28; 37-84; 38-23; 39-92; 40-13; 41-51; 42-26; 43-88; 44-4; 45-1; 46-22; 47-67; 48-46; 49-62; 50-74; 51-88; 52-57; 53-5; 54-82; 55-81; 56-23; 57-67; 58-97; 60-68; 61-12; 62-25; 63-63; 64-48; 65-41; 66-66; 67-63; 68-60; 69-53; 70-9; 71-47; 72-61; 73-47; 74-77; 75-41; 76-94; 77-44; 78-69; 79-38; 80-34; 81-17; 82-91; 83-54; 84-80; 85-5; 86-11; 87-46; 88-59; 89-66; 90-84; 91-60; 92-2; 93-34; 94-48; 95-57; 96-72; 97-7; 98-57; 99-7;
60 0-47; 1-40; 2-20; 3-89; 4-97; 5-47; 6-49; 7-97; 8-10; 9-41; 10-66; 11-78; 12-18; 13-41; 14-60; 15-4; 16-9; 17-85; 18-22; 19-0; 20-59; 21-68; 22-52; 23-81; 24-20; 25-55; 26-16; 27-63; 28-30; 29-6; 30-60; 31-72; 32-47; 33-66; 34-3; 35-3; 36-12; 37-15; 38-17; 39-62; 40-21; 41-28; 42-78; 43-27; 44-71; 45-77; 46-30; 47-46; 48-87; 49-78; 50-58; 51-74; 52-71; 53-42; 54-11; 55-5; 56-0; 57-24; 58-61; 59-68; 61-1; 62-4; 63-50; 64-97; 65-50; 66-11; 67-46; 68-52; 69-49; 70-49; 71-84; 72-49; 73-81; 74-66; 75-55; 76-42; 77-82; 78-20; 79-35; 80-8; 81-84; 82-35; 83-60; 84-76; 85-91; 86-32; 87-73; 88-97; 89-0; 90-43; 91-45; 92-62; 93-89; 94-25; 95-60; 96-87; 97-77; 98-38; 99-61;
61 0-79; 1-63; 2-3; 3-8; 4-60; 5-84; 6-68; 7-65; 8-88; 9-63; 10-91; 11-29; 12-4; 13-83; 14-7; 15-31; 16-7; 17-11; 18-14; 19-13; 20-85; 21-72; 22-83; 23-22; 24-18; 25-9; 26-8; 27-10; 28-38; 29-97; 30-99; 31-24; 32-50; 33-77; 34-57; 35-30; 36-83; 37-32; 38-64; 39-54; 40-99; 41-84; 42-55; 43-72; 44-83; 45-38; 46-55; 47-0; 48-56; 49-78; 50-81; 51-62; 52-34; 53-11; 54-18; 55-38; 56-51; 57-92; 58-67; 59-12; 60-1; 62-43; 63-12; 64-21; 65-73; 66-99; 67-21; 68-6; 69-32; 70-65; 71-13; 72-45; 73-91; 74-64; 75-91; 76-40; 77-40; 78-98; 79-52; 80-43; 81-0; 82-77; 83-39; 84-77; 85-56; 86-28; 87-13; 88-16; 89-76; 90-86; 91-56; 92-78; 93-15; 94-1; 95-73; 96-49; 97-73; 98-72; 99-47;
62 0-84; 1-7; 2-35; 3-15; 4-88; 5-92; 6-41; 7-58; 8-2; 9-82; 10-47; 11-19; 12-26; 13-35; 14-42; 15-11; 16-43; 17-11; 18-35; 19-88; 20-80; 21-76; 22-61; 23-23; 24-96; 25-80; 26-44; 27-74; 28-27; 29-41; 30-13; 31-4; 32-6; 33-55; 34-55; 35-76; 36-58; 37-96; 38-46; 39-88; 40-49; 41-66; 42-58; 43-33; 44-61; 45-50; 46-78; 47-51; 48-25; 49-20; 50-83; 51-75; 52-59; 53-21; 54-56; 55-18; 56-16; 57-45; 58-49; 59-25; 60-4; 61-43; 63-98; 64-42; 65-76; 66-25; 67-7; 68-31; 69-33; 70-61; 71-70; 72-78; 73-15; 74-22; 75-30; 76-56; 77-82; 78-45; 79-10; 80-66; 81-18; 82-92; 83-45; 84-59; 85-94; 86-90; 87-7; 88-88; 89-89; 90-43; 91-72; 92-54; 93-93; 94-6; 95-67; 96-80; 97-81; 98-62; 99-7;
63 0-9; 1-17; 2-66; 3-69; 4-74; 5-64; 6-32; 7-76; 8-0; 9-13; 10-90; 11-80; 12-17; 13-67; 14-80; 15-79; 16-20; 17-67; 18-62; 19-69; 20-55; 21-68; 22-34; 23-76; 24-78; 25-6; 26-51; 27-95; 28-8; 29-16; 30-73; 31-76; 32-77; 33-71; 34-20; 35-75; 36-46; 37-25; 38-55; 39-90; 40-10; 41-19; 42-34; 43-11; 44-29; 45-50; 46-51; 47-98; 48-30; 49-12; 50-3; 51-89; 52-24; 53-47; 54-46; 55-4; 56-33; 57-85; 58-90; 59-63; 60-50; 61-12; 62-98; 64-35; 65-55; 66-27; 67-12; 68-46; 69-61; 70-74; 71-91; 72-7; 73-49; 74-42; 75-57; 76-57; 77-96; 78-6; 79-16; 80-19; 81-67; 82-1; 83-23; 84-13; 85-42; 86-93; 87-7; 88-36; 89-10; 90-36; 91-58; 92-90; 93-93; 94-2; 95-1; 96-48; 97-16; 98-10; 99-53;
64 0-91; 1-49; 2-89; 3-94; 4-90; 5-47; 6-33; 7-50; 8-85; 9-47; 10-16; 11-47; 12-76; 13-26; 14-46; 15-3; 16-98; 17-98; 18-81; 19-17; 20-37; 21-21; 22-11; 23-12; 24-58; 25-66; 26-62; 27-79; 28-31; 29-23; 30-46; 31-57; 32-90; 33-7; 34-81; 35-88; 36-58; 37-36; 38-16; 39-53; 40-81; 41-85; 42-98; 43-65; 44-96; 45-71; 46-4; 47-72; 48-96; 49-11; 50-96; 51-71; 52-49; 53-36; 54-76; 55-20; 56-28; 57-0; 58-97; 59-48; 60-97; 61-21; 62-42; 63-35; 65-12; 66-27; 67-62; 68-99; 69-90; 70-59; 71-72; 72-7; 73-11; 74-44; 75-43; 76-63; 77-47; 78-62; 79-78; 80-63; 81-70; 82-89; 83-6; 84-96; 85-40; 86-89; 87-27; 88-5; 89-67; 90-12; 91-14; 92-5; 93-25; 94-5; 95-91; 96-17; 97-48; 98-94; 99-95;
65 0-52; 1-36; 2-23; 3-8; 4-15; 5-81; 6-44; 7-50; 8-58; 9-70; 10-14; 11-70; 12-18; 13-76; 14-16; 15-43; 16-46; 17-25; 18-93; 19-76; 20-74; 21-3; 22-7; 23-99; 24-89; 25-92; 26-94; 27-30; 28-83; 29-60; 30-97; 31-22; 32-60; 33-50; 34-66; 35-9; 36-53; 37-97; 38-35; 39-12; 40-62; 41-6; 42-60; 43-32; 44-67; 45-62; 46-90; 47-51; 48-95; 49-26; 50-39; 51-59; 52-86; 53-53; 54-98; 55-50; 56-43; 57-20; 58-65; 59-41; 60-50; 61-73; 62-76; 63-55; 64-12; 66-57; 67-74; 68-44; 69-67; 70-20; 71-16; 72-54; 73-79; 74-67; 75-85; 76-0; 77-64; 78-50; 79-6; 80-2; 81-62; 82-78; 83-52; 84-39; 85-3; 86-41; 87-78; 88-25; 89-52; 90-24; 91-15; 92-1; 93-98; 94-18; 95-59; 96-92; 97-25; 98-89; 99-41;
66 0-17; 1-89; 2-34; 3-97; 4-75; 5-72; 6-61; 7-35; 8-95; 9-79; 10-83; 11-40; 12-5; 13-54; 14-7; 15-51; 16-52; 17-45; 18-35; 19-88; 20-36; 21-87; 22-6; 23-79; 24-76; 25-42; 26-39; 27-43; 28-69; 29-97; 30-63; 31-75; 32-46; 33-19; 34-36; 35-24; 36-17; 37-50; 38-23; 39-63; 40-84; 41-59; 42-25; 43-11; 44-63; 45-52; 46-68; 47-71; 48-97; 49-49; 50-55; 51-44; 52-36; 53-30; 54-7; 55-30; 56-16; 57-86; 58-1; 59-66; 60-11; 61-99; 62-25; 63-27; 64-27; 65-57; 67-29; 68-48; 69-30; 70-6; 71-40; 72-75; 73-94; 74-11; 75-64; 76-54; 77-63; 78-73; 79-66; 80-42; 81-87; 82-26; 83-66; 84-36; 85-18; 86-14; 87-35; 88-67; 89-5; 90-59; 91-71; 92-25; 93-50; 94-40; 95-85; 96-72; 97-48; 98-96; 99-94;
67 0-9; 1-77; 2-13; 3-78; 4-68; 5-74; 6-45; 7-85; 8-81; 9-11; 10-40; 11-18; 12-11; 13-26; 14-69; 15-6; 16-59; 17-28; 18-87; 19-17; 20-73; 21-47; 22-17; 23-92; 24-75; 25-29; 26-26; 27-83; 28-74; 29-64; 30-19; 31-29; 32-4; 33-58; 34-14; 35-43; 36-30; 37-73; 38-14; 39-98; 40-75; 41-42; 42-68; 43-61; 44-82; 45-76; 46-68; 47-99; 48-69; 49-68; 50-58; 51-16; 52-45; 53-57; 54-26; 55-20; 56-20; 57-60; 58-35; 59-63; 60-46; 61-21; 62-7; 63-12; 64-62; 65-74; 66-29; 68-46; 69-96; 70-22; 71-83; 72-2; 73-70; 74-59; 75-17; 76-26; 77-34; 78-2; 79-76; 80-66; 81-80; 82-2; 83-44; 84-80; 85-62; 86-62; 87-16; 88-43; 89-22; 90-17; 91-10; 92-74; 93-88; 94-55; 95-79; 96-67; 97-55; 98-0; 99-59;
68 0-12; 1-64; 2-93; 3-12; 4-93; 5-23; 6-44; 7-51; 8-83; 9-12; 10-32; 11-64; 12-96; 13-34; 14-12; 15-47; 16-13; 17-64; 18-83; 19-23; 20-89; 21-17; 22-0; 23-9; 24-91; 25-94; 26-52; 27-60; 28-99; 29-5; 30-39; 31-22; 32-44; 33-54; 34-18; 35-81; 36-37; 37-63; 38-65; 39-34; 40-25; 41-82; 42-69; 43-24; 44-39; 45-21; 46-38; 47-23; 48-71; 49-49; 50-80; 51-81; 52-90; 53-52; 54-34; 55-10; 56-91; 57-62; 58-94; 59-60; 60-52; 61-6; 62-31; 63-46; 64-99; 65-44; 66-48; 67-46; 69-52; 70-56; 71-98; 72-96; 73-0; 74-65; 75-58; 76-45; 77-95; 78-65; 79-93; 80-60; 81-43; 82-82; 83-53; 84-18; 85-30; 86-49; 87-6; 88-91; 89-62; 90-75; 91-25; 92-88; 93-17; 94-24; 95-42; 96-61; 97-20; 98-57; 99-30;
69 0-60; 1-55; 2-15; 3-44; 4-22; 5-43; 6-74; 7-43; 8-45; 9-67; 10-94; 11-67; 12-90; 13-30; 14-89; 15-15; 16-88; 17-27; 18-78; 19-25; 20-9; 21-85; 22-27; 23-32; 24-20; 25-94; 26-35; 27-36; 28-78; 29-89; 30-99; 31-36; 32-93; 33-11; 34-20; 35-79; 36-52; 37-49; 38-30; 39-70; 40-39; 41-51; 42-86; 43-3; 44-43; 45-52; 46-81; 47-33; 48-39; 49-45; 50-73; 51-24; 52-98; 53-59; 54-1; 55-50; 56-81; 57-9; 58-65; 59-53; 60-49; 61-32; 62-33; 63-61; 64-90; 65-67; 66-30; 67-96; 68-52; 70-98; 71-87; 72-24; 73-74; 74-10; 75-42; 76-17; 77-93; 78-28; 79-92; 80-79; 81-31; 82-25; 83-57; 84-58; 85-56; 86-26; 87-8; 88-8; 89-52; 90-33; 91-93; 92-22; 93-67; 94-41; 95-96; 96-26; 97-47; 98-51; 99-17;
70 0-67; 1-15; 2-41; 3-33; 4-87; 5-14; 6-95; 7-47; 8-48; 9-52; 10-30; 11-72; 12-75; 13-35; 14-60; 15-49; 16-23; 17-98; 18-75; 19-49; 20-63; 21-94; 22-70; 23-53; 24-29; 25-32; 26-75; 27-35; 28-91; 29-36; 30-43; 31-11; 32-8; 33-79; 34-82; 35-5; 36-65; 37-32; 38-92; 39-7; 40-41; 41-26; 42-60; 43-6; 44-64; 45-90; 46-50; 47-83; 48-4; 49-81; 50-6; 51-86; 52-14; 53-61; 54-37; 55-15; 56-86; 57-96; 58-51; 59-9; 60-49; 61-65; 62-61; 63-74; 64-59; 65-20; 66-6; 67-22; 68-56; 69-98; 71-15; 72-61; 73-77; 74-2; 75-98; 76-32; 77-98; 78-45; 79-70; 80-99; 81-30; 82-68; 83-84; 84-35; 85-29; 86-76; 87-18; 88-86; 89-55; 90-74; 91-43; 92-75; 93-94; 94-6; 95-36; 96-83; 97-70; 98-29; 99-17;
71 0-58; 1-21; 2-90; 3-32; 4-75; 5-79; 6-79; 7-51; 8-41; 9-16; 10-26; 11-59; 12-52; 13-36; 14-30; 15-61; 16-73; 17-16; 18-85; 19-29; 20-36; 21-92; 22-33; 23-84; 24-45; 25-9; 26-45; 27-96; 28-14; 29-59; 30-88; 31-13; 32-40; 33-46; 34-22; 35-74; 36-73; 37-42; 38-69; 39-58; 40-90; 41-43; 42-19; 43-55; 44-35; 45-52; 46-3; 47-74; 48-62; 49-31; 50-54; 51-39; 52-95; 53-92; 54-58; 55-48; 56-56; 57-83; 58-75; 59-47; 60-84; 61-13; 62-70; 63-91; 64-72; 65-16; 66-40; 67-83; 68-98; 69-87; 70-15; 72-77; 73-96; 74-37; 75-13; 76-77; 77-19; 78-0; 79-5; 80-60; 81-6; 82-90; 83-44; 84-75; 85-24; 86-24; 87-72; 88-19; 89-81; 90-79; 91-32; 92-42; 93-7; 94-60; 95-90; 96-94; 97-61; 98-8; 99-82;
72 0-12; 1-2; 2-12; 3-68; 4-13; 5-47; 6-2; 7-5; 8-9; 9-65; 10-51; 11-79; 12-20; 13-32; 14-88; 15-12; 16-14; 17-32; 18-67; 19-12; 20-8; 21-31; 22-64; 23-46; 24-57; 25-12; 26-41; 27-37; 28-44; 29-42; 30-49; 31-74; 32-44; 33-98; 34-75; 35-76; 36-33; 37-38; 38-41; 39-64; 40-16; 41-37; 42-23; 43-50; 44-32; 45-95; 46-72; 47-85; 48-72; 49-42; 50-86; 51-44; 52-65; 53-27; 54-54; 55-42; 56-55; 57-6; 58-71; 59-61; 60-49; 61-45; 62-78; 63-7; 64-7; 65-54; 66-75; 67-2; 68-96; 69-24; 70-61; 71-77; 73-91; 74-75; 75-60; 76-90; 77-78; 78-70; 79-1; 80-98; 81-1; 82-86; 83-81; 84-59; 85-33; 86-29; 87-77; 88-25; 89-24; 90-28; 91-63; 92-41; 93-91; 94-57; 95-17; 96-84; 97-89; 98-7; 99-32;
73 0-45; 1-85; 2-14; 3-69; 4-99; 5-60; 6-11; 7-91; 8-35; 9-70; 10-5; 11-18; 12-94; 13-66; 14-7; 15-56; 16-79; 17-81; 18-66; 19-93; 20-40; 21-95; 22-16; 23-76; 24-0; 25-35; 26-6; 27-42; 28-66; 29-50; 30-63; 31-60; 32-17; 33-95; 34-46; 35-90; 36-65; 37-3; 38-13; 39-82; 40-39; 41-30; 42-92; 43-52; 44-0; 45-59; 46-55; 47-7; 48-3; 49-43; 50-86; 51-7; 52-80; 53-89; 54-28; 55-26; 56-43; 57-18; 58-76; 59-47; 60-81; 61-91; 62-15; 63-49; 64-11; 65-79; 66-94; 67-70; 68-0; 69-74; 70-77; 71-96; 72-91; 74-93; 75-71; 76-30; 77-6; 78-21; 79-43; 80-14; 81-23; 82-32; 83-48; 84-14; 85-36; 86-37; 87-58; 88-95; 89-23; 90-56; 91-34; 92-92; 93-95; 94-83; 95-15; 96-80; 97-70; 98-34; 99-69;
74 0-52; 1-81; 2-19; 3-47; 4-56; 5-29; 6-94; 7-76; 8-65; 9-43; 10-64; 11-52; 12-86; 13-52; 14-12; 15-58; 16-33; 17-96; 18-35; 19-81; 20-97; 21-67; 22-91; 23-19; 24-9; 25-88; 26-24; 27-42; 28-53; 29-15; 30-73; 31-87; 32-67; 33-57; 34-59; 35-68; 36-84; 37-24; 38-50; 39-25; 40-54; 41-74; 42-96; 43-95; 44-28; 45-17; 46-90; 47-35; 48-62; 49-85; 50-73; 51-92; 52-46; 53-5; 54-38; 55-14; 56-74; 57-1; 58-57; 59-77; 60-66; 61-64; 62-22; 63-42; 64-44; 65-67; 66-11; 67-59; 68-65; 69-10; 70-2; 71-37; 72-75; 73-93; 75-52; 76-94; 77-47; 78-32; 79-26; 80-72; 81-2; 82-40; 83-13; 84-1; 85-43; 86-0; 87-78; 88-30; 89-87; 90-60; 91-96; 92-74; 93-3; 94-56; 95-56; 96-68; 97-83; 98-80; 99-74;
75 0-32; 1-34; 2-27; 3-62; 4-64; 5-77; 6-38; 7-77; 8-93; 9-32; 10-97; 11-49; 12-37; 13-89; 14-78; 15-2; 16-49; 17-48; 18-48; 19-85; 20-98; 21-31; 22-43; 23-71; 24-39; 25-20; 26-10; 27-88; 28-78; 29-19; 30-38; 31-49; 32-49; 33-5; 34-89; 35-33; 36-52; 37-14; 38-62; 39-68; 40-73; 41-39; 42-44; 43-24; 44-66; 45-94; 46-53; 47-7; 48-30; 49-98; 50-48; 51-77; 52-91; 53-40; 54-32; 55-6; 56-97; 57-94; 58-26; 59-41; 60-55; 61-91; 62-30; 63-57; 64-43; 65-85; 66-64; 67-17; 68-58; 69-42; 70-98; 71-13; 72-60; 73-71; 74-52; 76-30; 77-17; 78-78; 79-29; 80-15; 81-19; 82-21; 83-51; 84-75; 85-76; 86-8; 87-29; 88-93; 89-2; 90-48; 91-62; 92-93; 93-22; 94-39; 95-3; 96-93; 97-42; 98-22; 99-90;
76 0-55; 1-53; 2-16; 3-94; 4-10; 5-82; 6-93; 7-21; 8-8; 9-81; 10-85; 11-54; 12-32; 13-98; 14-73; 15-12; 16-77; 17-62; 18-17; 19-80; 20-52; 21-21; 22-50; 23-13; 24-19; 25-51; 26-1; 27-85; 28-93; 29-75; 30-87; 31-20; 32-34; 33-91; 34-6; 35-25; 36-4; 37-77; 38-45; 39-9; 40-0; 41-95; 42-56; 43-47; 44-40; 45-90; 46-27; 47-96; 48-30; 49-50; 50-12; 51-46; 52-46; 53-41; 54-88; 55-60; 56-76; 57-44; 58-12; 59-94; 60-42; 61-40; 62-56; 63-57; 64-63; 65-0; 66-54; 67-26; 68-45; 69-17; 70-32; 71-77; 72-90; 73-30; 74-94; 75-30; 77-70; 78-91; 79-96; 80-34; 81-55; 82-62; 83-94; 84-41; 85-85; 86-17; 87-15; 88-57; 89-86; 90-74; 91-38; 92-24; 93-15; 94-35; 95-14; 96-51; 97-71; 98-66; 99-36;
77 0-1; 1-30; 2-56; 3-71; 4-59; 5-44; 6-62; 7-76; 8-71; 9-34; 10-57; 11-87; 12-97; 13-39; 14-60; 15-18; 16-40; 17-7; 18-72; 19-70; 20-29; 21-22; 22-53; 23-9; 24-14; 25-54; 26-52; 27-95; 28-47; 29-40; 30-27; 31-36; 32-41; 33-14; 34-52; 35-54; 36-59; 37-65; 38-22; 39-17; 40-66; 41-43; 42-33; 43-33; 44-5; 45-28; 46-83; 47-57; 48-9; 49-34; 50-71; 51-4; 52-12; 53-24; 54-4; 55-50; 56-67; 57-40; 58-1; 59-44; 60-82; 61-40; 62-82; 63-96; 64-47; 65-64; 66-63; 67-34; 68-95; 69-93; 70-98; 71-19; 72-78; 73-6; 74-47; 75-17; 76-70; 78-27; 79-27; 80-89; 81-74; 82-0; 83-61; 84-26; 85-55; 86-93; 87-46; 88-47; 89-2; 90-36; 91-62; 92-10; 93-85; 94-20; 95-35; 96-61; 97-43; 98-17; 99-38;
78 0-45; 1-14; 2-90; 3-31; 4-44; 5-4; 6-65; 7-62; 8-12; 9-17; 10-38; 11-16; 12-64; 13-4; 14-51; 15-3; 16-88; 17-52; 18-7; 19-33; 20-5; 21-32; 22-52; 23-19; 24-64; 25-13; 26-10; 27-22; 28-15; 29-97; 30-11; 31-5; 32-57; 33-32; 34-20; 35-66; 36-64; 37-91; 38-34; 39-90; 40-95; 41-63; 42-50; 43-68; 44-83; 45-55; 46-90; 47-22; 48-16; 49-96; 50-95; 51-34; 52-68; 53-45; 54-82; 55-84; 56-0; 57-75; 58-44; 59-69; 60-20; 61-98; 62-45; 63-6; 64-62; 65-50; 66-73; 67-2; 68-65; 69-28; 70-45; 71-0; 72-70; 73-21; 74-32; 75-78; 76-91; 77-27; 79-15; 80-24; 81-49; 82-22; 83-45; 84-46; 85-99; 86-4; 87-28; 88-35; 89-32; 90-51; 91-47; 92-13; 93-10; 94-91; 95-51; 96-0; 97-54; 98-62; 99-35;
79 0-52; 1-25; 2-92; 3-73; 4-36; 5-15; 6-79; 7-99; 8-79; 9-97; 10-82; 11-72; 12-84; 13-15; 14-70; 15-77; 16-18; 17-53; 18-73; 19-76; 20-12; 21-14; 22-49; 23-0; 24-85; 25-0; 26-61; 27-21; 28-21; 29-95; 30-18; 31-39; 32-99; 33-27; 34-16; 35-11; 36-27; 37-57; 38-30; 39-56; 40-91; 41-61; 42-25; 43-27; 44-21; 45-39; 46-0; 47-1; 48-37; 49-34; 50-71; 51-56; 52-2; 53-95; 54-69; 55-94; 56-12; 57-62; 58-13; 59-38; 60-35; 61-52; 62-10; 63-16; 64-78; 65-6; 66-66; 67-76; 68-93; 69-92; 70-70; 71-5; 72-1; 73-43; 74-26; 75-29; 76-96; 77-27; 78-15; 80-87; 81-24; 82-82; 83-30; 84-62; 85-81; 86-0; 87-31; 88-56; 89-7; 90-74; 91-40; 92-16; 93-62; 94-30; 95-58; 96-75; 97-76; 98-2; 99-89;
80 0-44; 1-38; 2-88; 3-28; 4-40; 5-75; 6-3; 7-16; 8-65; 9-60; 10-41; 11-9; 12-57; 13-70; 14-76; 15-59; 16-30; 17-81; 18-13; 19-5; 20-42; 21-37; 22-67; 23-73; 24-87; 25-36; 26-18; 27-6; 28-39; 29-19; 30-1; 31-82; 32-34; 33-60; 34-54; 35-15; 36-14; 37-30; 38-75; 39-68; 40-50; 41-60; 42-27; 43-0; 44-65; 45-96; 46-44; 47-26; 48-26; 49-34; 50-66; 51-49; 52-94; 53-41; 54-81; 55-30; 56-54; 57-95; 58-77; 59-34; 60-8; 61-43; 62-66; 63-19; 64-63; 65-2; 66-42; 67-66; 68-60; 69-79; 70-99; 71-60; 72-98; 73-14; 74-72; 75-15; 76-34; 77-89; 78-24; 79-87; 81-92; 82-76; 83-8; 84-93; 85-33; 86-86; 87-33; 88-66; 89-50; 90-34; 91-9; 92-20; 93-29; 94-53; 95-16; 96-27; 97-72; 98-61; 99-47;
